model,quality,phrase_accuracy_mean,phrase_accuracy_std,word_count_mean,word_count_std,response_time_s_mean,response_time_s_std,file_size_kb_mean
claude-3.5-sonnet,1,30.62,29.6,91.12,77.44,8.44,5.09,75.4
claude-3.5-sonnet,25,26.18,26.67,102.82,68.45,9.1,4.47,163.75
claude-3.5-sonnet,5,27.35,27.73,104.88,77.14,9.9,5.54,86.09
claude-3.5-sonnet,PNG,25.94,28.0,101.06,82.05,8.39,4.5,5016.19
claude-opus-4.5,25,100.0,0.0,360.5,91.22,18.58,1.28,208.66
claude-opus-4.5,5,100.0,,303.0,,19.18,,94.1
claude-opus-4.5,PNG,100.0,,298.0,,18.84,,190.48
gemini-2.5-flash,1,54.06,34.89,136.88,137.63,3.18,1.73,75.4
gemini-2.5-flash,25,54.06,34.89,145.56,144.54,2.84,1.5,160.95
gemini-2.5-flash,5,54.06,34.89,142.75,138.9,3.18,1.74,85.58
gemini-2.5-flash,PNG,51.0,33.82,141.27,155.73,2.91,1.55,5337.9
gemini-3-pro,25,50.0,70.71,159.5,225.57,28.78,12.58,208.66
gemini-3-pro,5,0.0,,0.0,,20.02,,94.1
gemini-3-pro,PNG,100.0,,558.0,,47.41,,190.48
gpt-4o-mini,1,25.94,26.47,86.94,58.36,4.86,2.92,75.4
gpt-4o-mini,25,23.33,25.84,113.94,91.46,6.46,4.15,166.25
gpt-4o-mini,5,23.44,23.79,88.25,58.33,5.2,3.13,85.58
gpt-4o-mini,PNG,27.81,26.64,119.0,112.25,5.78,3.95,5016.19
gpt-5.1,25,0.0,,0.0,,34.63,,208.66
gpt-5.1,PNG,0.0,,0.0,,88.69,,190.48
sonnet-4.5,25,100.0,,319.0,,15.66,,208.66
sonnet-4.5,PNG,100.0,,239.0,,17.27,,190.48
